Слово,Частота,Частота (%)
the,1091,3.31772
and,969,2.94672
to,767,2.33244
of,675,2.05267
i,633,1.92495
a,571,1.73641
you,558,1.69687
my,520,1.58132
in,451,1.37149
it,421,1.28026
that,405,1.2316
is,364,1.10692
ham,358,1.08868
not,315,0.957913
d,305,0.927503
his,304,0.924462
this,300,0.912298
with,278,0.845396
but,274,0.833232
for,252,0.76633
your,242,0.73592
s,239,0.726797
me,235,0.714633
as,229,0.696387
lord,226,0.687264
he,224,0.681182
be,223,0.678141
what,219,0.665977
king,203,0.617321
him,197,0.599076
so,196,0.596035
have,183,0.556502
will,173,0.526092
do,160,0.486559
o,159,0.483518
we,153,0.465272
no,142,0.431821
on,136,0.413575
are,132,0.401411
all,125,0.380124
by,121,0.36796
queen,121,0.36796
our,120,0.364919
hamlet,117,0.355796
if,117,0.355796
or,115,0.349714
shall,114,0.346673
good,109,0.331468
hor,109,0.331468
come,107,0.325386
thou,107,0.325386
let,106,0.322345
they,102,0.310181
now,99,0.301058
t,96,0.291935
from,95,0.288894
more,95,0.288894
there,95,0.288894
her,91,0.27673
how,90,0.273689
at,87,0.264566
was,87,0.264566
pol,86,0.261525
thy,86,0.261525
like,84,0.255443
most,82,0.249361
would,81,0.24632
well,78,0.237197
know,77,0.234156
ll,76,0.231115
sir,75,0.228074
th,74,0.225033
them,74,0.225033
enter,73,0.221992
tis,73,0.221992
us,72,0.218951
father,71,0.21591
go,71,0.21591
may,71,0.21591
love,68,0.206787
did,66,0.200706
very,66,0.200706
hath,65,0.197665
then,65,0.197665
which,64,0.194624
why,64,0.194624
here,63,0.191583
speak,63,0.191583
laer,62,0.188542
must,61,0.185501
give,60,0.18246
such,59,0.179419
thee,59,0.179419
an,58,0.176378
oph,58,0.176378
man,57,0.173337
their,57,0.173337
upon,57,0.173337
am,56,0.170296
say,56,0.170296
should,56,0.170296
when,56,0.170296
where,56,0.170296
make,55,0.167255
out,55,0.167255
some,53,0.161173
she,51,0.155091
too,51,0.155091
than,50,0.15205
much,49,0.149009
one,49,0.149009
play,49,0.149009
night,48,0.145968
think,48,0.145968
heaven,47,0.142927
horatio,47,0.142927
these,47,0.142927
laertes,46,0.139886
mother,46,0.139886
see,46,0.139886
time,46,0.139886
ros,45,0.136845
who,45,0.136845
had,44,0.133804
tell,43,0.130763
thus,43,0.130763
yet,43,0.130763
look,41,0.124681
exit,40,0.12164
own,39,0.118599
up,39,0.118599
ay,38,0.115558
death,37,0.112517
exeunt,37,0.112517
nor,37,0.112517
clown,36,0.109476
god,36,0.109476
polonius,36,0.109476
take,36,0.109476
both,35,0.106435
ghost,35,0.106435
soul,35,0.106435
again,34,0.103394
can,34,0.103394
life,34,0.103394
down,33,0.100353
could,32,0.0973118
hear,32,0.0973118
mar,32,0.0973118
might,32,0.0973118
whose,32,0.0973118
dead,31,0.0942708
indeed,31,0.0942708
mine,31,0.0942708
nothing,31,0.0942708
guildenstern,30,0.0912298
heart,30,0.0912298
hold,30,0.0912298
made,30,0.0912298
ophelia,30,0.0912298
cannot,29,0.0881888
dear,29,0.0881888
guil,29,0.0881888
nature,29,0.0881888
other,29,0.0881888
pray,29,0.0881888
been,28,0.0851478
doth,28,0.0851478
into,28,0.0851478
leave,28,0.0851478
matter,27,0.0821068
were,27,0.0821068
world,27,0.0821068
denmark,26,0.0790658
does,26,0.0790658
great,26,0.0790658
head,26,0.0790658
nay,26,0.0790658
never,26,0.0790658
rosencrantz,26,0.0790658
two,26,0.0790658
away,25,0.0760248
call,25,0.0760248
comes,25,0.0760248
osr,25,0.0760248
part,25,0.0760248
sweet,25,0.0760248
against,24,0.0729838
earth,24,0.0729838
even,24,0.0729838
itself,24,0.0729838
put,24,0.0729838
scene,24,0.0729838
though,24,0.0729838
true,24,0.0729838
day,23,0.0699428
elsinore,23,0.0699428
eyes,23,0.0699428
players,23,0.0699428
show,23,0.0699428
son,23,0.0699428
within,23,0.0699428
before,22,0.0669018
done,22,0.0669018
fear,22,0.0669018
follow,22,0.0669018
madness,22,0.0669018
off,22,0.0669018
seen,22,0.0669018
set,22,0.0669018
england,21,0.0638608
fair,21,0.0638608
himself,21,0.0638608
mad,21,0.0638608
those,21,0.0638608
ber,20,0.0608199
first,20,0.0608199
friends,20,0.0608199
means,20,0.0608199
old,20,0.0608199
poor,20,0.0608199
still,20,0.0608199
till,20,0.0608199
words,20,0.0608199
act,19,0.0577789
aside,19,0.0577789
believe,19,0.0577789
blood,19,0.0577789
er,19,0.0577789
keep,19,0.0577789
once,19,0.0577789
thing,19,0.0577789
without,19,0.0577789
about,18,0.0547379
art,18,0.0547379
else,18,0.0547379
end,18,0.0547379
find,18,0.0547379
hand,18,0.0547379
little,18,0.0547379
makes,18,0.0547379
many,18,0.0547379
young,18,0.0547379
body,17,0.0516969
cause,17,0.0516969
ear,17,0.0516969
farewell,17,0.0516969
long,17,0.0516969
noble,17,0.0516969
since,17,0.0516969
sword,17,0.0516969
thoughts,17,0.0516969
welcome,17,0.0516969
bear,16,0.0486559
better,16,0.0486559
brother,16,0.0486559
daughter,16,0.0486559
faith,16,0.0486559
fortune,16,0.0486559
gentleman,16,0.0486559
grave,16,0.0486559
hast,16,0.0486559
honour,16,0.0486559
live,16,0.0486559
majesty,16,0.0486559
marry,16,0.0486559
question,16,0.0486559
speech,16,0.0486559
use,16,0.0486559
watch,16,0.0486559
youth,16,0.0486559
after,15,0.0456149
answer,15,0.0456149
between,15,0.0456149
castle,15,0.0456149
drink,15,0.0456149
eye,15,0.0456149
fortinbras,15,0.0456149
lady,15,0.0456149
mark,15,0.0456149
men,15,0.0456149
murther,15,0.0456149
said,15,0.0456149
something,15,0.0456149
stand,15,0.0456149
state,15,0.0456149
stay,15,0.0456149
therefore,15,0.0456149
tongue,15,0.0456149
yourself,15,0.0456149
another,14,0.0425739
dost,14,0.0425739
ever,14,0.0425739
